Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value,CPI,CPI_2020,gep_value_2020
United Republic of Tanzania,2006,TZA,,8983827.31400454,0.315,2829905.60391143,36.7475963523566,100.0,7700927.094051826
United Republic of Tanzania,2007,TZA,,27579144.71401465,0.315,8687430.584914615,39.32930401472102,100.0,22088950.726569932
United Republic of Tanzania,2008,TZA,,54830386.57364833,0.315,17271571.770699225,43.37172474442153,100.0,39822192.620828845
United Republic of Tanzania,2009,TZA,59005944.44072063,59005944.44062841,0.315,18586872.49879795,48.63801839403836,100.0,38214699.34942122
United Republic of Tanzania,2010,TZA,,66340878.25659329,0.315,20897376.650826886,51.65365138837671,100.0,40456726.851123035
United Republic of Tanzania,2011,TZA,77628193.604823,77628193.60473561,0.315,24452880.98549172,58.20900051621584,100.0,42008762.852197826
United Republic of Tanzania,2012,TZA,,81380776.53473467,0.315,25634944.60844142,67.52307731796252,100.0,37964716.10398894
United Republic of Tanzania,2013,TZA,99836946.20426697,99836946.20439269,0.315,31448638.05438369,72.83763213093427,100.0,43176359.711764164
United Republic of Tanzania,2014,TZA,,108745405.591586,0.315,34254802.76134959,77.30375482030732,100.0,44311952.040330924
United Republic of Tanzania,2015,TZA,88594921.14821094,88594921.148265,0.315,27907400.161703475,81.62361969272165,100.0,34190348.65981565
United Republic of Tanzania,2016,TZA,,94970970.27590978,0.315,29915855.636911582,85.84745125170711,100.0,34847692.27358592
United Republic of Tanzania,2017,TZA,,103604558.2650454,0.315,32635435.853489306,90.41343342166454,100.0,36095782.0297413
United Republic of Tanzania,2018,TZA,,107001346.86674088,0.315,33705424.26302338,93.57289332106426,100.0,36020500.23971625
United Republic of Tanzania,2019,TZA,,119216127.68270455,0.315,37553080.22005194,96.81452089253,100.0,38788685.699057624
United Republic of Tanzania,2020,TZA,,127116495.42033903,0.315,40041696.0574068,100.0,100.0,40041696.0574068
United Republic of Tanzania,2021,TZA,,137060266.81120324,0.315,43173984.04552902,103.690919588,100.0,41637188.885077156
